"scan_id","store_id","scan_datetime","item_upc","unit_qty"
"01J47JWJ5N9WPXVBX649TPJ0RJ","6901","2024-08-01 14:22:41","11891009584","3"
"01J47JWJ901H3QSG4N8QWVPW65","2389","2024-08-01 14:22:54","19380748719","3"
"01J47JWJ92ZMR75HDHPZETYX29","4757","2024-08-01 14:22:22","16736649142","3"
"01J47JWJ93NKMEQ407X5S75MMM","8381","2024-08-01 14:22:28","19793116814","3"
"01J47JWJ95RKZJ4CS4WTADVNNR","1885","2024-08-01 14:22:21","15230859431","3"
"01J47JWJ96ZBVNCDCXCZZXSRT0","2685","2024-08-01 14:22:19","12782968767","3"
"01J47JWJ98EJS4D65042CZP383","5237","2024-08-01 14:22:29","10587726369","3"
"01J47JWJ993SJ5VMZNATA1FREY","1845","2024-08-01 14:22:18","19641489941","3"
"01J47JWJ9BNEBEM18VV4YTEAFE","7213","2024-08-01 14:22:02","13202775673","3"
"01J47JWJ9C8T4S41EZ0Q0WCBSD","5149","2024-08-01 14:22:01","15448760464","3"
