category_code,category_name,category_description,ytd_sales,avg_price,frequency
20370,Computers,"Computer hardware, software, & supplies, incl computer game software & tablet computers",81062821,150,0.0011
20380,Kitchenware,Kitchenware & home furnishings,57204456,7,0.0169
20400,Jewelry,"Jewelry, incl watches, watch attachments, novelty jewelry, estate/antique jewelry, etc.",50814143,120,0.0009
20420,Books,"Books, incl e-books",16701973,10,0.0034
20440,Photographic,Photographic equipment & supplies,8299976,10,0.0017
20460,Toys and Hobby,"Toys, hobby goods, & games",33294271,8,0.0086
20490,Eyewear,"Optical goods, incl eyeglasses, contact lenses, sunglasses, etc.",13990436,50,0.0006
20530,Sporting Goods,Sporting goods & recreational equipment,47670139,20,0.0049
20600,Hardware and Tools,"Hardware, tools, & plumbing & electrical supplies",83949656,5,0.0347
20620,Lawn and Garden,"Lawn, garden, & farm equipment & supplies",79567732,15,0.0110
20640,Lumber,Dimensional lumber & other building/structural materials & supplies,93248647,5,0.0385
20670,Paint,Paint & sundries,22368827,10,0.0046
20690,Wallcoverings,Wallpaper & other flexible wallcoverings,562602,10,0.0001
20730,Automotive,"Automotive lubricants, incl oil, greases, etc.",10405102,5,0.0043
20800,Pet Supplies,"Pets, pet foods, & pet supplies",40038265,8,0.0103
20810,Baby,"Baby goods not elsewhere classified, incl bottles, monitors, carriers, swings, etc.",5423935,10,0.0011
